Order ID,Order Date,Ship Date,Region,Category,Sub-Category,Segment,Sales,Profit,Quantity,Discount
CA-100000,2022-01-01,2022-01-05,Central,Furniture,Tables,Consumer,143.09,4.94,2,0.03
CA-100001,2022-01-02,2022-01-04,Central,Technology,Copiers,Home Office,306.4,-20.14,9,0.14
CA-100002,2022-01-03,2022-01-07,Central,Office Supplies,Envelopes,Corporate,365.13,-54.59,2,0.12
CA-100003,2022-01-04,2022-01-08,Central,Furniture,Furnishings,Corporate,806.39,-93.75,3,0.26
CA-100004,2022-01-05,2022-01-07,South,Technology,Copiers,Home Office,285.97,-36.14,7,0.07
CA-100005,2022-01-06,2022-01-08,East,Office Supplies,Envelopes,Home Office,218.6,62.64,3,0.29
CA-100006,2022-01-07,2022-01-11,South,Technology,Accessories,Consumer,957.87,172.08,9,0.29
CA-100007,2022-01-08,2022-01-11,South,Office Supplies,Binders,Consumer,18.77,5.33,6,0.07
CA-100008,2022-01-09,2022-01-13,Central,Technology,Phones,Home Office,997.84,19.83,3,0.1
CA-100009,2022-01-10,2022-01-14,West,Office Supplies,Envelopes,Corporate,680.05,-41.36,9,0.27
CA-100010,2022-01-11,2022-01-15,West,Furniture,Bookcases,Consumer,830.18,165.33,1,0.29
CA-100011,2022-01-12,2022-01-16,South,Office Supplies,Paper,Consumer,301.67,-11.12,3,0.13
CA-100012,2022-01-13,2022-01-15,South,Technology,Phones,Corporate,24.17,-1.22,1,0.1
CA-100013,2022-01-14,2022-01-18,Central,Technology,Accessories,Consumer,740.49,-62.01,2,0.16
CA-100014,2022-01-15,2022-01-18,South,Office Supplies,Envelopes,Corporate,835.8,-112.97,8,0.21
CA-100015,2022-01-16,2022-01-18,Central,Furniture,Furnishings,Corporate,743.07,-53.33,7,0.08
CA-100016,2022-01-17,2022-01-20,West,Furniture,Chairs,Corporate,151.42,-3.38,2,0.22
CA-100017,2022-01-18,2022-01-21,West,Office Supplies,Envelopes,Home Office,755.89,103.55,2,0.02
CA-100018,2022-01-19,2022-01-22,East,Office Supplies,Pens,Home Office,771.23,-130.12,9,0.01
CA-100019,2022-01-20,2022-01-23,West,Technology,Machines,Home Office,661.96,-62.72,6,0.12
CA-100020,2022-01-21,2022-01-23,South,Furniture,Furnishings,Corporate,768.45,157.16,5,0.11
CA-100021,2022-01-22,2022-01-24,West,Office Supplies,Envelopes,Corporate,847.46,-107.24,6,0.09
CA-100022,2022-01-23,2022-01-26,Central,Furniture,Tables,Home Office,617.47,-17.71,9,0.15
CA-100023,2022-01-24,2022-01-27,West,Office Supplies,Paper,Consumer,97.72,22.7,7,0.1
CA-100024,2022-01-25,2022-01-27,East,Office Supplies,Binders,Corporate,492.75,-60.38,9,0.06
CA-100025,2022-01-26,2022-01-28,West,Furniture,Chairs,Consumer,86.87,-13.78,4,0.09
CA-100026,2022-01-27,2022-01-29,Central,Office Supplies,Binders,Consumer,413.47,17.48,2,0.29
CA-100027,2022-01-28,2022-02-01,Central,Office Supplies,Envelopes,Corporate,413.04,-20.15,8,0.12
CA-100028,2022-01-29,2022-02-02,South,Technology,Accessories,Corporate,75.35,6.16,4,0.13
CA-100029,2022-01-30,2022-02-03,West,Office Supplies,Pens,Consumer,355.33,71.74,9,0.17
CA-100030,2022-01-31,2022-02-03,Central,Office Supplies,Envelopes,Consumer,119.89,-15.76,4,0.3
CA-100031,2022-02-01,2022-02-05,East,Office Supplies,Envelopes,Home Office,810.15,73.2,8,0.07
CA-100032,2022-02-02,2022-02-05,South,Technology,Machines,Home Office,948.21,50.02,9,0.2
CA-100033,2022-02-03,2022-02-06,East,Furniture,Bookcases,Corporate,81.59,-10.44,9,0.21
CA-100034,2022-02-04,2022-02-08,West,Technology,Phones,Home Office,955.56,107.02,4,0.18
CA-100035,2022-02-05,2022-02-08,West,Technology,Copiers,Home Office,527.35,-33.32,1,0.03
CA-100036,2022-02-06,2022-02-10,West,Furniture,Chairs,Home Office,306.57,13.46,3,0.2
CA-100037,2022-02-07,2022-02-11,South,Technology,Copiers,Home Office,86.09,-13.68,9,0.02
CA-100038,2022-02-08,2022-02-10,Central,Furniture,Tables,Consumer,505.62,15.06,4,0.18
CA-100039,2022-02-09,2022-02-13,South,Technology,Machines,Corporate,796.57,-37.25,5,0.22
CA-100040,2022-02-10,2022-02-12,East,Furniture,Furnishings,Home Office,710.02,149.95,7,0.06
CA-100041,2022-02-11,2022-02-15,South,Office Supplies,Envelopes,Consumer,59.72,-10.24,5,0.25
CA-100042,2022-02-12,2022-02-16,East,Technology,Phones,Consumer,82.17,0.76,4,0.01
CA-100043,2022-02-13,2022-02-15,South,Technology,Copiers,Consumer,408.84,11.94,2,0.25
CA-100044,2022-02-14,2022-02-16,Central,Technology,Accessories,Home Office,302.34,49.13,2,0.14
CA-100045,2022-02-15,2022-02-19,East,Technology,Copiers,Home Office,240.06,20.92,4,0.07
CA-100046,2022-02-16,2022-02-19,West,Office Supplies,Envelopes,Corporate,288.19,38.5,9,0.04
CA-100047,2022-02-17,2022-02-19,West,Technology,Accessories,Home Office,805.45,151.85,8,0.29
CA-100048,2022-02-18,2022-02-21,South,Office Supplies,Paper,Home Office,929.94,214.91,3,0.02
CA-100049,2022-02-19,2022-02-22,West,Office Supplies,Envelopes,Consumer,411.05,-17.7,9,0.06
CA-100050,2022-02-20,2022-02-23,East,Office Supplies,Pens,Corporate,907.05,62.6,5,0.1
CA-100051,2022-02-21,2022-02-23,West,Office Supplies,Envelopes,Home Office,328.28,72.24,3,0.19
CA-100052,2022-02-22,2022-02-25,Central,Furniture,Bookcases,Home Office,481.67,141.96,5,0.16
CA-100053,2022-02-23,2022-02-25,Central,Furniture,Tables,Consumer,233.77,57.22,4,0.04
CA-100054,2022-02-24,2022-02-27,South,Technology,Accessories,Consumer,644.07,-9.19,8,0.09
CA-100055,2022-02-25,2022-03-01,East,Furniture,Furnishings,Home Office,979.19,-100.29,5,0.07
CA-100056,2022-02-26,2022-03-02,Central,Furniture,Tables,Corporate,607.46,27.15,8,0.06
CA-100057,2022-02-27,2022-03-01,Central,Technology,Phones,Corporate,364.24,62.22,9,0.12
CA-100058,2022-02-28,2022-03-04,East,Technology,Accessories,Consumer,651.34,30.15,4,0.21
CA-100059,2022-03-01,2022-03-05,West,Technology,Phones,Consumer,131.69,5.48,7,0.07
CA-100060,2022-03-02,2022-03-05,West,Furniture,Tables,Home Office,889.77,194.96,2,0.11
CA-100061,2022-03-03,2022-03-05,South,Furniture,Furnishings,Consumer,508.05,-9.8,6,0.12
CA-100062,2022-03-04,2022-03-07,West,Technology,Machines,Home Office,454.86,104.57,8,0.29
CA-100063,2022-03-05,2022-03-08,East,Office Supplies,Binders,Corporate,590.01,2.01,7,0.29
CA-100064,2022-03-06,2022-03-09,Central,Technology,Machines,Corporate,628.54,-22.55,7,0.24
CA-100065,2022-03-07,2022-03-10,West,Office Supplies,Paper,Home Office,81.06,2.19,8,0.07
CA-100066,2022-03-08,2022-03-11,South,Office Supplies,Paper,Consumer,685.79,124.28,7,0.02
